Location,Drink Name,Type,Price ($),Caffeine (mg),Calories,Volume (oz),Sugar (g),Artificial Sweetner,Hot/Cold
Campus Market,Redbull,Energy Drink,4.85,80.00,110,8.4,26,N,Cold
Campus Market,Redbull (large),Energy Drink,6.80,114.00,160,12,38,N,Cold
Campus Market,Redbull Sugarfree,Energy Drink,4.85,80.00,10,8.4,0,Y,Cold
Campus Market,Redbull Sugarfree (large),Energy Drink,6.80,114.00,20,12,0,Y,Cold
Campus Market,Yerba Mate (Normal),Tea,4.20,150.00,120,16,27,N,Cold
Campus Market,Yerba Mate (Tropical Uprising),Tea,4.20,150.00,60,16,11,N,Cold
Campus Market,Yerba Mate (Berry Lemonade),Tea,4.20,150.00,20,16,2,N,Cold
Campus Market,Yerba Mate (Bottle),Tea,4.20,140.00,110,16,24,N,Cold
Campus Market,Yerba Mate (Classic Gold),Tea,3.90,120.00,100,12,24,N,Cold
Campus Market,Yerba Mate (Cranberry Pomegranate),Tea,3.90,80.00,100,12,23,N,Cold
Campus Market,Monster Energy,Energy Drink,3.25,160.00,230,16,54,N,Cold
Campus Market,Monster Energy Zero Ultra,Energy Drink,3.25,150.00,10,16,0,Y,Cold
Campus Market,Monster Energy Lo-Carb,Energy Drink,3.25,140.00,30,16,6,N,Cold
Campus Market,Monster Energy Ultra Sunrise,Energy Drink,3.25,155.00,10,16,0,Y,Cold
Campus Market,Monster Juice,Energy Drink,3.39,150.00,250,16,60,N,Cold
Campus Market,Mega Monster Energy,Energy Drink,4.85,240.00,340,24,81,N,Cold
Campus Market,Mega Monster Energy Zero Ultra,Energy Drink,4.85,210.00,15,24,0,Y,Cold
Campus Market,Java Monster,Coffee,3.85,200.00,220,15,35,N,Cold
Campus Market,Califia farms mocha almond latte,Coffee,4.79,40.00,110,10.5,13,N,Cold
Campus Market,Califia farms espresso almond latte,Coffee,4.79,115.00,100,10.5,13,N,Cold
Campus Market,Califia farms salted carmel almond latte,Coffee,4.79,50.00,100,10.5,13,N,Cold
Campus Market,Rise Brewing Oat Milk Vanilla,Coffee,4.95,70.00,120,7,10,N,Cold
Campus Market,Rise Brewing Oat Milk Mocha,Coffee,4.95,70.00,150,7,10,N,Cold
Campus Market,Reign Storm 12oz,Energy Drink,3.95,200.00,10,12,0,Y,Cold
Campus Market,Reign 16oz,Energy Drink,3.70,300.00,10,16,0,Y,Cold
Campus Market,NOS,Energy Drink,4.25,160.00,210,16,51,N,Cold
Campus Market,Full Throttle,Energy Drink,4.25,160.00,230,16,55,N,Cold
Campus Market,Peace Tea (Caddy Shack),Tea,2.75,23.00,160,23,38,N,Cold
Campus Market,Peace Tea (Razzle berry),Tea,2.75,23.00,140,23,35,N,Cold
Campus Market,Dunkin Iced coffee (original),Coffee,4.35,140.00,250,13.7,38,N,Cold
Campus Market,Dunkin Iced coffee (french vanilla),Coffee,4.35,140.00,260,13.7,40,N,Cold
Campus Market,Dunkin Iced coffee (mocha),Coffee,4.35,225.00,270,13.7,40,N,Cold
Campus Market,Gold Peak Sweet Tea,Tea,3.25,48.00,190,18.5,48,N,Cold
Campus Market,Gold Peak Green Tea,Tea,3.25,25.00,150,18.5,38,N,Cold
Campus Market,Gold Peak Black Tea,Tea,3.25,47.00,0,18.5,0,N,Cold
Campus Market,Starbucks Pike Place Roast,Coffee,2.45,155.00,5,12,0,N,Hot
Starbucks,Cappuccino,Coffee,5.25,150.00,120,16,0,N,Hot
Starbucks,Flat White,Coffee,4.95,155.00,170,16,0,N,Hot
Starbucks,Caffè Americano,Coffee,3.75,225.00,15,16,0,N,Hot
Starbucks,Featured Blonde Roast,Coffee,2.95,360.00,5,16,0,N,Hot
Starbucks,Featured Pike Place Roast,Coffee,2.95,310.00,5,16,0,N,Hot
Starbucks,Espresso,Coffee,2.95,150.00,5,1.5,0,N,Hot
Starbucks,Blonde Vanilla Latte,Coffee,5.85,200.00,250,16,35,N,Hot
Starbucks,Caramel Macchiato,Coffee,5.45,150.00,250,16,32,N,Hot
Starbucks,Espresso Macchiato,Coffee,3.05,150.00,15,1.5,0,N,Hot
Starbucks,Caffè Mocha,Coffee,5.45,175.00,290,16,34,N,Hot
Starbucks,White Chocolate Mocha,Coffee,5.85,150.00,360,16,51,N,Hot
Starbucks,Vanilla Sweet Cream Cold Brew,Coffee,4.95,185.00,110,16,14,N,Cold
Starbucks,Starbucks® Cold Brew Coffee,Coffee,4.65,200.00,5,16,0,N,Cold
Starbucks,Nitro Cold Brew,Coffee,5.45,280.00,5,16,0,N,Cold
Starbucks,Vanilla Sweet Cream Nitro Cold Brew,Coffee,5.65,280.00,70,16,9,N,Cold
Starbucks,Iced Coffee,Coffee,3.95,165.00,90,16,20,N,Cold
Starbucks,Iced Espresso,Coffee,2.95,150.00,5,1.5,0,N,Cold
Starbucks,Iced Hazelnut Oatmilk Shaken Espresso,Coffee,5.95,225.00,160,16,20,N,Cold
Starbucks,Iced Shaken Espresso,Coffee,4.45,150.00,5,16,0,N,Cold
Starbucks,Iced Flat White,Coffee,5.25,150.00,100,16,13,N,Cold
Starbucks,Iced Caramel Macchiato,Coffee,5.65,150.00,250,16,32,N,Cold
Starbucks,Matcha Tea Latte,Tea,5.25,80.00,250,16,32,N,Hot
Starbucks,Honey Citrus Mint Tea,Tea,4.25,25.00,130,16,30,N,Hot
Starbucks,Chai Tea Latte,Tea,5.25,50.00,240,16,42,N,Hot
Starbucks,Earl Grey Tea,Tea,3.45,40.00,0,16,0,N,Hot
Starbucks,Royal English Breakfast Tea,Tea,3.45,40.00,0,16,0,N,Hot
Starbucks,Iced Black Tea Lemonade,Tea,4.25,47.00,120,16,26,N,Cold
Starbucks,Iced Chai Tea Latte,Tea,5.25,70.00,240,16,42,N,Cold
Starbucks,Iced Matcha Tea Latte,Tea,5.25,80.00,240,16,32,N,Cold
Starbucks,Iced Peach Green Tea,Tea,4.25,28.00,120,16,26,N,Cold